Name,Abbr,Region
Anderson County,AN,Longview/Tyler
Andrews County,AD,Midland/Odessa
Angelina County,AG,Lufkin
Aransas County,AS,Corpus Christi
Archer County,AR,Wichita Falls
Armstrong County,AM,Amarillo
Atascosa County,AT,San Antonio
Austin County,AU,Houston
Bailey County,BA,Lubbock
Bandera County,BN,San Antonio
Bastrop County,BP,Austin
Baylor County,BY,Wichita Falls
Bee County,BE,Corpus Christi
Bell County,BL,Belton/Killeen
Bexar County,BX,San Antonio
Blanco County,BC,Austin
Borden County,BD,Lubbock
Bosque County,BQ,Waco
Bowie County,BW,Paris
Brazoria County,BO,Galveston
Brazos County,BZ,Bryan/College Station
Brewster County,BS,Midland/Odessa
Briscoe County,BI,Amarillo
Brooks County,BK,Corpus Christi
Brown County,BR,Abilene
Burleson County,BU,Bryan/College Station
Burnet County,BT,Austin
Caldwell County,CW,Austin
Calhoun County,CL,Victoria
Callahan County,CA,Abilene
Cameron County,CF,Lower Rio Grande Valley
Camp County,CP,Longview/Tyler
Carson County,CZ,Amarillo
Cass County,CS,Paris
Castro County,CAS,Lubbock
Chambers County,CH,Galveston
Cherokee County,CE,Longview/Tyler
Childress County,CI,Amarillo
Clay County,CY,Wichita Falls
Cochran County,CQ,Lubbock
Coke County,CK,San Angelo
Coleman County,CN,Abilene
Collin County,COL,Dallas/Ft. Worth
Collingsworth County,CG,Amarillo
Colorado County,CD,Houston
Comal County,CM,San Antonio
Comanche County,CJ,Abilene
Concho County,CC,San Angelo
Cooke County,CO,Dallas/Ft. Worth
Coryell County,CV,Belton/Killeen
Cottle County,CT,Lubbock
Crane County,CR,Midland/Odessa
Crockett County,CX,San Angelo
Crosby County,CB,Lubbock
Culberson County,CU,El Paso
Dallam County,DA,Amarillo
Dallas County,DL,Dallas/Ft. Worth
Dawson County,DS,Lubbock
Deaf Smith County,DF,Amarillo
Delta County,DT,Paris
Denton County,DN,Dallas/Ft. Worth
DeWitt County,DW,Victoria
Dickens County,DK,Lubbock
Dimmit County,DM,San Antonio
Donley County,DY,Amarillo
Duval County,DV,Corpus Christi
Eastland County,EA,Abilene
Ector County,EC,Midland/Odessa
Edwards County,ED,San Antonio
El Paso County,EP,El Paso
Ellis County,EL,Dallas/Ft. Worth
Erath County,ER,Dallas/Ft. Worth
Falls County,FA,Waco
Fannin County,FN,Dallas/Ft. Worth
Fayette County,FY,Austin
Fisher County,FS,Abilene
Floyd County,FL,Lubbock
Foard County,FD,Wichita Falls
Fort Bend County,FB,Houston
Franklin County,FK,Longview/Tyler
Freestone County,FT,Longview/Tyler
Frio County,FR,San Antonio
Gaines County,GA,Lubbock
Galveston County,GV,Galveston
Garza County,GR,Lubbock
Gillespie County,GL,San Antonio
Glasscock County,GC,Midland/Odessa
Goliad County,GD,Victoria
Gonzales County,GZ,San Antonio
Gray County,GY,Amarillo
Grayson County,GS,Dallas/Ft. Worth
Gregg County,GG,Longview/Tyler
Grimes County,GM,Bryan/College Station
Guadalupe County,GU,San Antonio
Hale County,HA,Lubbock
Hall County,HL,Amarillo
Hamilton County,HM,Belton/Killeen
Hansford County,HF,Amarillo
Hardeman County,HX,Wichita Falls
Hardin County,HN,Galveston
Harris County,HR,Houston
Harrison County,HS,Longview/Tyler
Hartley County,HT,Amarillo
Haskell County,HK,Abilene
Hays County,HY,Austin
Hemphill County,HH,Amarillo
Henderson County,HE,Longview/Tyler
Hidalgo County,HG,Lower Rio Grande Valley
Hill County,HI,Waco
Hockley County,HQ,Lubbock
Hood County,HD,Dallas/Ft. Worth
Hopkins County,HP,Paris
Houston County,HO,Longview/Tyler
Howard County,HW,Midland/Odessa
Hudspeth County,HZ,El Paso
Hunt County,HU,Dallas/Ft. Worth
Hutchinson County,HC,Amarillo
Irion County,IR,San Angelo
Jack County,JA,Wichita Falls
Jackson County,JK,Victoria
Jasper County,JP,Galveston
Jeff Davis County,JD,Midland/Odessa
Jefferson County,JF,Galveston
Jim Hogg County,JH,Laredo
Jim Wells County,JW,Corpus Christi
Johnson County,JN,Dallas/Ft. Worth
Jones County,JS,Abilene
Karnes County,KA,San Antonio
Kaufman County,KF,Dallas/Ft. Worth
Kendall County,KE,San Antonio
Kenedy County,KN,Corpus Christi
Kent County,KT,Lubbock
Kerr County,KR,San Antonio
Kimble County,KM,San Angelo
King County,KG,Lubbock
Kinney County,KY,San Antonio
Kleberg County,KL,Corpus Christi
Knox County,KX,Abilene
La Salle County,LS,San Antonio
Lamar County,LR,Paris
Lamb County,LA,Lubbock
Lampasas County,LM,Belton/Killeen
Lavaca County,LC,Victoria
Lee County,LE,Austin
Leon County,LN,Bryan/College Station
Liberty County,LB,Galveston
Limestone County,LT,Waco
Lipscomb County,LP,Amarillo
Live Oak County,LK,Corpus Christi
Llano County,LL,Austin
Loving County,LV,Midland/Odessa
Lubbock County,LU,Lubbock
Lynn County,LY,Lubbock
Madison County,MA,Bryan/College Station
Marion County,MR,Longview/Tyler
Martin County,MT,Midland/Odessa
Mason County,MS,San Angelo
Matagorda County,MG,Houston
Maverick County,MV,San Antonio
McCulloch County,MK,San Angelo
McLennan County,ML,Waco
McMullen County,MC,Corpus Christi
Medina County,ME,San Antonio
Menard County,MN,San Angelo
Midland County,MD,Midland/Odessa
Milam County,MM,Belton/Killeen
Mills County,MI,Belton/Killeen
Mitchell County,MH,Abilene
Montague County,MU,Wichita Falls
Montgomery County,MQ,Houston
Moore County,MO,Amarillo
Morris County,MX,Paris
Motley County,MY,Lubbock
Nacogdoches County,NA,Lufkin
Navarro County,NV,Dallas/Ft. Worth
Newton County,NW,Galveston
Nolan County,NL,Abilene
Nueces County,NU,Corpus Christi
Ochiltree County,OC,Amarillo
Oldham County,OL,Amarillo
Orange County,OR,Galveston
Palo Pinto County,PP,Dallas/Ft. Worth
Panola County,PN,Longview/Tyler
Parker County,PR,Dallas/Ft. Worth
Parmer County,PM,Amarillo
Pecos County,PC,Midland/Odessa
Polk County,PK,Lufkin
Potter County,PT,Amarillo
Presidio County,PS,Midland/Odessa
Rains County,RA,Longview/Tyler
Randall County,RD,Amarillo
Reagan County,RG,San Angelo
Real County,RE,San Antonio
Red River County,RR,Paris
Reeves County,RV,Midland/Odessa
Refugio County,RF,Corpus Christi
Roberts County,RB,Amarillo
Robertson County,RT,Bryan/College Station
Rockwall County,RW,Dallas/Ft. Worth
Runnels County,RN,San Angelo
Rusk County,RK,Longview/Tyler
Sabine County,SB,Lufkin
San Augustine County,SA,Lufkin
San Jacinto County,SJ,Lufkin
San Patricio County,SP,Corpus Christi
San Saba County,SS,Austin
Schleicher County,SL,San Angelo
Scurry County,SC,Lubbock
Shackelford County,SF,Abilene
Shelby County,SY,Longview/Tyler
Sherman County,SH,Amarillo
Smith County,SM,Longview/Tyler
Somervell County,SV,Dallas/Ft. Worth
Starr County,SR,Lower Rio Grande Valley
Stephens County,SE,Abilene
Sterling County,ST,San Angelo
Stonewall County,SN,Abilene
Sutton County,SU,San Angelo
Swisher County,SW,Amarillo
Tarrant County,TR,Dallas/Ft. Worth
Taylor County,TA,Abilene
Terrell County,TE,Midland/Odessa
Terry County,TY,Lubbock
Throckmorton County,TH,Abilene
Titus County,TT,Paris
Tom Green County,TG,San Angelo
Travis County,TV,Austin
Trinity County,TN,Longview/Tyler
Tyler County,TL,Lufkin
Upshur County,UR,Longview/Tyler
Upton County,UT,Midland/Odessa
Uvalde County,UV,San Antonio
Val Verde County,VV,San Antonio
Van Zandt County,VN,Longview/Tyler
Victoria County,VT,Victoria
Walker County,WA,Houston
Waller County,WL,Houston
Ward County,WR,Midland/Odessa
Washington County,WT,Bryan/College Station
Webb County,WB,Laredo
Wharton County,WH,Houston
Wheeler County,WE,Amarillo
Wichita County,WC,Wichita Falls
Wilbarger County,WG,Wichita Falls
Willacy County,WY,Lower Rio Grande Valley
Williamson County,WM,Austin
Wilson County,WN,San Antonio
Winkler County,WK,Midland/Odessa
Wise County,WS,Dallas/Ft. Worth
Wood County,WD,Longview/Tyler
Yoakum County,YE,Lubbock
Young County,YN,Wichita Falls
Zapata County,ZP,Laredo
Zavala County,ZV,San Antonio
